Age,Education,Gender,Marrital Status,Profession,Income,Wife Salary,Total Income
29,Post Graduate,Female,Single,Salaried,900000,0,900000
30,Graduate,Female,Married,Salaried,800000,500000,1300000
29,Post Graduate,Female,Married,Business,900000,700000,1600000
28,Graduate,Female,Single,Salaried,900000,0,900000
27,Post Graduate,Female,Single,Salaried,900000,0,900000
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000
31,Graduate,Female,Married,Salaried,1200000,600000,1800000
33,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Graduate,Female,Married,Salaried,1200000,700000,1900000
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
35,Graduate,Female,Married,Business,1100000,800000,1900000
36,Graduate,Female,Married,Business,1400000,1000000,2400000
35,Graduate,Female,Married,Salaried,1400000,600000,2000000
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000
31,Graduate,Female,Married,Salaried,1400000,800000,2200000
31,Post Graduate,Female,Married,Business,1100000,600000,1700000
32,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000
36,Graduate,Female,Married,Business,1500000,1100000,2600000
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000
31,Graduate,Female,Married,Salaried,1400000,700000,2100000
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000
37,Graduate,Female,Married,Salaried,1300000,0,1300000
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000
36,Graduate,Female,Married,Business,1300000,700000,2000000
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
41,Post Graduate,Female,Married,Business,1600000,600000,2200000
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000
42,Graduate,Female,Married,Salaried,2100000,0,2100000
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000
41,Graduate,Female,Married,Salaried,2600000,0,2600000
39,Post Graduate,Female,Married,Business,1600000,0,1600000
39,Graduate,Female,Married,Business,2200000,1400000,3600000
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000
42,Graduate,Female,Married,Salaried,2700000,0,2700000
42,Post Graduate,Female,Married,Business,1800000,0,1800000
27,Post Graduate,Male,Single,Salaried,800000,0,800000
28,Graduate,Male,Married,Salaried,900000,0,900000
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000
26,Post Graduate,Male,Single,Salaried,800000,0,800000
27,Graduate,Male,Single,Salaried,800000,0,800000
29,Post Graduate,Male,Single,Salaried,900000,0,900000
30,Graduate,Male,Married,Salaried,800000,500000,1300000
29,Post Graduate,Male,Married,Business,900000,700000,1600000
28,Graduate,Male,Single,Salaried,900000,0,900000
27,Post Graduate,Male,Single,Salaried,900000,0,900000
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000
31,Graduate,Female,Married,Salaried,1200000,600000,1800000
33,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Graduate,Female,Married,Salaried,1200000,700000,1900000
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
35,Graduate,Female,Married,Business,1100000,800000,1900000
36,Graduate,Female,Married,Business,1400000,1000000,2400000
35,Graduate,Female,Married,Salaried,1400000,600000,2000000
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000
31,Graduate,Female,Married,Salaried,1400000,800000,2200000
31,Post Graduate,Female,Married,Business,1100000,600000,1700000
32,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000
36,Graduate,Female,Married,Business,1500000,1100000,2600000
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000
31,Graduate,Female,Married,Salaried,1400000,700000,2100000
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000
37,Graduate,Female,Married,Salaried,1300000,0,1300000
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000
36,Graduate,Female,Married,Business,1300000,700000,2000000
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000
27,Graduate,Female,Single,Business,1200000,0,1200000
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000
29,Graduate,Female,Single,Business,1100000,0,1100000
41,Post Graduate,Male,Married,Business,1600000,600000,2200000
41,Post Graduate,Male,Married,Salaried,1900000,1100000,3000000
42,Graduate,Male,Married,Salaried,2100000,0,2100000
42,Post Graduate,Male,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Male,Married,Salaried,2700000,0,2700000
44,Post Graduate,Male,Married,Business,2000000,1800000,3800000
41,Graduate,Male,Married,Salaried,2900000,1800000,4700000
41,Graduate,Male,Married,Salaried,2600000,0,2600000
39,Post Graduate,Male,Married,Business,1600000,0,1600000
39,Graduate,Male,Married,Business,2200000,1400000,3600000
39,Post Graduate,Male,Married,Salaried,1900000,0,1900000
39,Post Graduate,Male,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Male,Married,Salaried,2400000,0,2400000
42,Post Graduate,Male,Married,Salaried,2900000,0,2900000
42,Graduate,Male,Married,Salaried,2700000,0,2700000
42,Post Graduate,Male,Married,Business,1800000,0,1800000
41,Post Graduate,Female,Married,Business,1600000,600000,2200000
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000
42,Graduate,Female,Married,Salaried,2100000,0,2100000
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000
41,Graduate,Female,Married,Salaried,2600000,0,2600000
39,Post Graduate,Female,Married,Business,1600000,0,1600000
39,Graduate,Female,Married,Business,2200000,1400000,3600000
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000
42,Graduate,Female,Married,Salaried,2700000,0,2700000
42,Post Graduate,Female,Married,Business,1800000,0,1800000
36,Graduate,Male,Married,Business,200000,0,200000
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000
34,Post Graduate,Female,Married,Business,2000000,0,2000000
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000
36,Graduate,Female,Married,Business,1600000,0,1600000
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000
32,Graduate,Female,Married,Salaried,1600000,800000,2400000
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000
36,Graduate,Female,Married,Salaried,2200000,900000,3100000
31,Graduate,Female,Single,Business,2000000,0,2000000
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000
37,Graduate,Female,Married,Business,1700000,0,1700000
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000
36,Post Graduate,Female,Married,Business,1900000,0,1900000
36,Graduate,Female,Married,Business,1800000,1100000,2900000
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000
34,Post Graduate,Female,Married,Business,1900000,0,1900000
37,Graduate,Female,Married,Salaried,2800000,0,2800000
36,Graduate,Female,Married,Business,200000,0,200000
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000
34,Post Graduate,Female,Married,Business,2000000,0,2000000
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000
36,Graduate,Female,Married,Business,1600000,0,1600000
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000
32,Graduate,Female,Married,Salaried,1600000,800000,2400000
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000
36,Graduate,Female,Married,Salaried,2200000,900000,3100000
31,Graduate,Female,Single,Business,2000000,0,2000000
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000
37,Graduate,Female,Married,Business,1700000,0,1700000
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000
36,Post Graduate,Female,Married,Business,1900000,0,1900000
36,Graduate,Female,Married,Business,1800000,1100000,2900000
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000
34,Post Graduate,Female,Married,Business,1900000,0,1900000
37,Graduate,Female,Married,Salaried,2800000,0,2800000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000
27,Graduate,Female,Single,Business,1200000,0,1200000
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000
29,Graduate,Female,Single,Business,1100000,0,1100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
30,Post Graduate,Male,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
27,Post Graduate,Male,Single,Salaried,1100000,0,1100000
27,Graduate,Male,Single,Business,1200000,0,1200000
28,Post Graduate,Male,Single,Salaried,1400000,0,1400000
30,Post Graduate,Male,Single,Salaried,1500000,0,1500000
29,Graduate,Male,Single,Business,1100000,0,1100000
36,Graduate,Female,Married,Business,200000,0,200000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000
27,Graduate,Female,Single,Business,1200000,0,1200000
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000
29,Graduate,Female,Single,Business,1100000,0,1100000
36,Graduate,Female,Married,Business,200000,0,200000
36,Graduate,Male,Married,Business,200000,0,200000
27,Graduate,Female,Single,Business,2400000,0,2400000
41,Graduate,Female,Married,Business,1100000,0,1100000
41,Graduate,Female,Married,Salaried,1400000,700000,2100000
43,Graduate,Female,Married,Business,1300000,900000,2200000
45,Graduate,Female,Married,Business,1800000,0,1800000
49,Post Graduate,Female,Married,Salaried,2500000,2000000,4500000
49,Post Graduate,Female,Married,Business,2000000,0,2000000
49,Post Graduate,Female,Married,Salaried,2500000,1800000,4300000
45,Post Graduate,Female,Married,Salaried,2700000,1800000,4500000
46,Graduate,Female,Married,Salaried,2100000,0,2100000
51,Graduate,Female,Married,Business,2200000,0,2200000
51,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
51,Post Graduate,Female,Married,Salaried,2200000,0,2200000
31,Graduate,Female,Married,Business,900000,400000,1300000
35,Post Graduate,Female,Married,Business,900000,500000,1400000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
30,Post Graduate,Male,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
27,Post Graduate,Male,Single,Salaried,1100000,0,1100000
27,Graduate,Male,Single,Business,1200000,0,1200000
28,Post Graduate,Male,Single,Salaried,1400000,0,1400000
30,Post Graduate,Male,Single,Salaried,1500000,0,1500000
29,Graduate,Male,Single,Business,1100000,0,1100000
36,Graduate,Male,Married,Business,200000,0,200000
27,Graduate,Female,Single,Business,2400000,0,2400000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000
27,Graduate,Female,Single,Business,1200000,0,1200000
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000
29,Graduate,Female,Single,Business,1100000,0,1100000
41,Post Graduate,Female,Married,Business,1600000,600000,2200000
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000
42,Graduate,Female,Married,Salaried,2100000,0,2100000
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000
41,Graduate,Female,Married,Salaried,2600000,0,2600000
39,Post Graduate,Female,Married,Business,1600000,0,1600000
39,Graduate,Female,Married,Business,2200000,1400000,3600000
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000
42,Graduate,Female,Married,Salaried,2700000,0,2700000
42,Post Graduate,Female,Married,Business,1800000,0,1800000
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000
34,Post Graduate,Female,Married,Business,2000000,0,2000000
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000
36,Graduate,Female,Married,Business,1600000,0,1600000
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000
32,Graduate,Female,Married,Salaried,1600000,800000,2400000
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000
36,Graduate,Female,Married,Salaried,2200000,900000,3100000
31,Graduate,Female,Single,Business,2000000,0,2000000
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000
37,Graduate,Female,Married,Business,1700000,0,1700000
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000
36,Post Graduate,Female,Married,Business,1900000,0,1900000
36,Graduate,Female,Married,Business,1800000,1100000,2900000
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000
34,Post Graduate,Female,Married,Business,1900000,0,1900000
37,Graduate,Female,Married,Salaried,2800000,0,2800000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
27,Post Graduate,Female,Single,Salaried,1100000,0,1100000
27,Graduate,Female,Single,Business,1200000,0,1200000
28,Post Graduate,Female,Single,Salaried,1400000,0,1400000
30,Post Graduate,Female,Single,Salaried,1500000,0,1500000
29,Graduate,Female,Single,Business,1100000,0,1100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
30,Post Graduate,Male,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
27,Post Graduate,Male,Single,Salaried,1100000,0,1100000
27,Graduate,Male,Single,Business,1200000,0,1200000
28,Post Graduate,Male,Single,Salaried,1400000,0,1400000
30,Post Graduate,Male,Single,Salaried,1500000,0,1500000
29,Graduate,Male,Single,Business,1100000,0,1100000
27,Post Graduate,Male,Single,Salaried,800000,0,800000
28,Graduate,Male,Married,Salaried,900000,0,900000
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000
26,Post Graduate,Male,Single,Salaried,800000,0,800000
27,Graduate,Male,Single,Salaried,800000,0,800000
29,Post Graduate,Male,Single,Salaried,900000,0,900000
30,Graduate,Male,Married,Salaried,800000,500000,1300000
29,Post Graduate,Male,Married,Business,900000,700000,1600000
28,Graduate,Male,Single,Salaried,900000,0,900000
27,Post Graduate,Male,Single,Salaried,900000,0,900000
31,Graduate,Male,Married,Business,900000,400000,1300000
35,Post Graduate,Male,Married,Business,900000,500000,1400000
41,Graduate,Female,Married,Business,1100000,0,1100000
41,Graduate,Female,Married,Salaried,1400000,700000,2100000
43,Graduate,Female,Married,Business,1300000,900000,2200000
45,Graduate,Female,Married,Business,1800000,0,1800000
49,Post Graduate,Female,Married,Salaried,2500000,2000000,4500000
49,Post Graduate,Female,Married,Business,2000000,0,2000000
49,Post Graduate,Female,Married,Salaried,2500000,1800000,4300000
45,Post Graduate,Female,Married,Salaried,2700000,1800000,4500000
46,Graduate,Female,Married,Salaried,2100000,0,2100000
51,Graduate,Female,Married,Business,2200000,0,2200000
51,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
51,Post Graduate,Female,Married,Salaried,2200000,0,2200000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
30,Post Graduate,Male,Married,Salaried,1300000,800000,2100000
30,Post Graduate,Male,Single,Business,1400000,0,1400000
27,Post Graduate,Male,Single,Salaried,1100000,0,1100000
27,Graduate,Male,Single,Business,1200000,0,1200000
28,Post Graduate,Male,Single,Salaried,1400000,0,1400000
30,Post Graduate,Male,Single,Salaried,1500000,0,1500000
29,Graduate,Male,Single,Business,1100000,0,1100000
41,Post Graduate,Female,Married,Business,1600000,600000,2200000
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000
42,Graduate,Female,Married,Salaried,2100000,0,2100000
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000
41,Graduate,Female,Married,Salaried,2600000,0,2600000
39,Post Graduate,Female,Married,Business,1600000,0,1600000
39,Graduate,Female,Married,Business,2200000,1400000,3600000
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000
42,Graduate,Female,Married,Salaried,2700000,0,2700000
42,Post Graduate,Female,Married,Business,1800000,0,1800000
27,Post Graduate,Male,Single,Salaried,800000,0,800000
28,Graduate,Male,Married,Salaried,900000,0,900000
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000
26,Post Graduate,Male,Single,Salaried,800000,0,800000
27,Graduate,Male,Single,Salaried,800000,0,800000
29,Post Graduate,Male,Single,Salaried,900000,0,900000
30,Graduate,Male,Married,Salaried,800000,500000,1300000
29,Post Graduate,Male,Married,Business,900000,700000,1600000
28,Graduate,Male,Single,Salaried,900000,0,900000
27,Post Graduate,Male,Single,Salaried,900000,0,900000
35,Post Graduate,Female,Married,Salaried,1400000,600000,2000000
31,Graduate,Female,Married,Salaried,1200000,600000,1800000
33,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Graduate,Female,Married,Salaried,1200000,700000,1900000
35,Post Graduate,Female,Married,Salaried,1300000,700000,2000000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
35,Graduate,Female,Married,Business,1100000,800000,1900000
36,Graduate,Female,Married,Business,1400000,1000000,2400000
35,Graduate,Female,Married,Salaried,1400000,600000,2000000
35,Post Graduate,Female,Married,Salaried,1300000,0,1300000
31,Graduate,Female,Married,Salaried,1400000,800000,2200000
31,Post Graduate,Female,Married,Business,1100000,600000,1700000
32,Post Graduate,Female,Married,Business,1400000,0,1400000
34,Post Graduate,Female,Married,Salaried,1400000,900000,2300000
36,Graduate,Female,Married,Business,1500000,1100000,2600000
36,Post Graduate,Female,Married,Salaried,1100000,500000,1600000
31,Graduate,Female,Married,Salaried,1400000,700000,2100000
37,Post Graduate,Female,Married,Business,1400000,1300000,2700000
37,Graduate,Female,Married,Salaried,1300000,0,1300000
35,Post Graduate,Female,Married,Salaried,1400000,1100000,2500000
36,Graduate,Female,Married,Business,1300000,700000,2000000
33,Post Graduate,Female,Married,Salaried,1400000,800000,2200000
35,Graduate,Female,Married,Salaried,1400000,0,1400000
41,Post Graduate,Female,Married,Business,1600000,600000,2200000
41,Post Graduate,Female,Married,Salaried,1900000,1100000,3000000
42,Graduate,Female,Married,Salaried,2100000,0,2100000
42,Post Graduate,Female,Married,Salaried,2400000,1300000,3700000
44,Post Graduate,Female,Married,Salaried,2700000,0,2700000
44,Post Graduate,Female,Married,Business,2000000,1800000,3800000
41,Graduate,Female,Married,Salaried,2900000,1800000,4700000
41,Graduate,Female,Married,Salaried,2600000,0,2600000
39,Post Graduate,Female,Married,Business,1600000,0,1600000
39,Graduate,Female,Married,Business,2200000,1400000,3600000
39,Post Graduate,Female,Married,Salaried,1900000,0,1900000
39,Post Graduate,Female,Married,Salaried,2700000,1300000,4000000
43,Post Graduate,Female,Married,Salaried,2400000,0,2400000
42,Post Graduate,Female,Married,Salaried,2900000,0,2900000
42,Graduate,Female,Married,Salaried,2700000,0,2700000
42,Post Graduate,Female,Married,Business,1800000,0,1800000
27,Post Graduate,Male,Single,Salaried,800000,0,800000
28,Graduate,Male,Married,Salaried,900000,0,900000
29,Post Graduate,Male,Married,Salaried,900000,800000,1700000
26,Post Graduate,Male,Single,Salaried,800000,0,800000
27,Graduate,Male,Single,Salaried,800000,0,800000
29,Post Graduate,Male,Single,Salaried,900000,0,900000
30,Graduate,Male,Married,Salaried,800000,500000,1300000
29,Post Graduate,Male,Married,Business,900000,700000,1600000
28,Graduate,Male,Single,Salaried,900000,0,900000
27,Post Graduate,Male,Single,Salaried,900000,0,900000
35,Post Graduate,Male,Married,Salaried,1400000,600000,2000000
31,Graduate,Male,Married,Salaried,1200000,600000,1800000
33,Post Graduate,Male,Married,Business,1400000,0,1400000
34,Graduate,Male,Married,Salaried,1200000,700000,1900000
35,Post Graduate,Male,Married,Salaried,1300000,700000,2000000
35,Graduate,Male,Married,Salaried,1400000,0,1400000
35,Graduate,Male,Married,Business,1100000,800000,1900000
36,Graduate,Male,Married,Business,1400000,1000000,2400000
35,Graduate,Male,Married,Salaried,1400000,600000,2000000
35,Post Graduate,Male,Married,Salaried,1300000,0,1300000
31,Graduate,Male,Married,Salaried,1400000,800000,2200000
31,Post Graduate,Male,Married,Business,1100000,600000,1700000
32,Post Graduate,Male,Married,Business,1400000,0,1400000
34,Post Graduate,Male,Married,Salaried,1400000,900000,2300000
36,Graduate,Male,Married,Business,1500000,1100000,2600000
36,Post Graduate,Male,Married,Salaried,1100000,500000,1600000
31,Graduate,Male,Married,Salaried,1400000,700000,2100000
37,Post Graduate,Male,Married,Business,1400000,1300000,2700000
37,Graduate,Male,Married,Salaried,1300000,0,1300000
35,Post Graduate,Male,Married,Salaried,1400000,1100000,2500000
36,Graduate,Male,Married,Business,1300000,700000,2000000
33,Post Graduate,Male,Married,Salaried,1400000,800000,2200000
35,Graduate,Male,Married,Salaried,1400000,0,1400000
27,Graduate,Female,Single,Business,2400000,0,2400000
31,Graduate,Male,Married,Business,900000,400000,1300000
35,Post Graduate,Male,Married,Business,900000,500000,1400000
31,Graduate,Female,Married,Business,900000,400000,1300000
35,Post Graduate,Female,Married,Business,900000,500000,1400000
27,Post Graduate,Female,Single,Salaried,800000,0,800000
28,Graduate,Female,Married,Salaried,900000,0,900000
29,Post Graduate,Female,Married,Salaried,900000,800000,1700000
26,Post Graduate,Female,Single,Salaried,800000,0,800000
27,Graduate,Female,Single,Salaried,800000,0,800000
29,Post Graduate,Female,Single,Salaried,900000,0,900000
30,Graduate,Female,Married,Salaried,800000,500000,1300000
29,Post Graduate,Female,Married,Business,900000,700000,1600000
28,Graduate,Female,Single,Salaried,900000,0,900000
27,Post Graduate,Female,Single,Salaried,900000,0,900000
36,Graduate,Female,Married,Business,200000,0,200000
36,Graduate,Male,Married,Business,200000,0,200000
31,Post Graduate,Male,Married,Salaried,1800000,800000,2600000
34,Post Graduate,Male,Married,Business,2000000,0,2000000
37,Post Graduate,Male,Married,Salaried,1700000,800000,2500000
35,Graduate,Male,Married,Salaried,1800000,1100000,2900000
36,Graduate,Male,Married,Business,1600000,0,1600000
36,Post Graduate,Male,Married,Salaried,1700000,900000,2600000
36,Post Graduate,Male,Married,Salaried,1800000,900000,2700000
32,Graduate,Male,Married,Salaried,1600000,800000,2400000
34,Post Graduate,Male,Married,Salaried,1600000,0,1600000
34,Graduate,Male,Married,Salaried,2200000,1400000,3600000
36,Graduate,Male,Married,Salaried,2200000,900000,3100000
31,Graduate,Male,Single,Business,2000000,0,2000000
31,Post Graduate,Male,Married,Salaried,1800000,0,1800000
37,Graduate,Male,Married,Business,1700000,0,1700000
37,Post Graduate,Male,Married,Salaried,1900000,1300000,3200000
36,Post Graduate,Male,Married,Salaried,2300000,1300000,3600000
36,Post Graduate,Male,Married,Business,1900000,0,1900000
36,Graduate,Male,Married,Business,1800000,1100000,2900000
34,Graduate,Male,Married,Salaried,2700000,1400000,4100000
34,Post Graduate,Male,Married,Business,1900000,0,1900000
37,Graduate,Male,Married,Salaried,2800000,0,2800000
27,Post Graduate,Female,Single,Salaried,800000,0,800000
28,Graduate,Female,Married,Salaried,900000,0,900000
29,Post Graduate,Female,Married,Salaried,900000,800000,1700000
26,Post Graduate,Female,Single,Salaried,800000,0,800000
27,Graduate,Female,Single,Salaried,800000,0,800000
29,Post Graduate,Female,Single,Salaried,900000,0,900000
30,Graduate,Female,Married,Salaried,800000,500000,1300000
29,Post Graduate,Female,Married,Business,900000,700000,1600000
28,Graduate,Female,Single,Salaried,900000,0,900000
27,Post Graduate,Female,Single,Salaried,900000,0,900000
27,Post Graduate,Female,Single,Salaried,800000,0,800000
28,Graduate,Female,Married,Salaried,900000,0,900000
29,Post Graduate,Female,Married,Salaried,900000,800000,1700000
26,Post Graduate,Female,Single,Salaried,800000,0,800000
27,Graduate,Female,Single,Salaried,800000,0,800000
29,Post Graduate,Female,Single,Salaried,900000,0,900000
30,Graduate,Female,Married,Salaried,800000,500000,1300000
29,Post Graduate,Female,Married,Business,900000,700000,1600000
28,Graduate,Female,Single,Salaried,900000,0,900000
27,Post Graduate,Female,Single,Salaried,900000,0,900000
31,Post Graduate,Female,Married,Salaried,1800000,800000,2600000
34,Post Graduate,Female,Married,Business,2000000,0,2000000
37,Post Graduate,Female,Married,Salaried,1700000,800000,2500000
35,Graduate,Female,Married,Salaried,1800000,1100000,2900000
36,Graduate,Female,Married,Business,1600000,0,1600000
36,Post Graduate,Female,Married,Salaried,1700000,900000,2600000
36,Post Graduate,Female,Married,Salaried,1800000,900000,2700000
32,Graduate,Female,Married,Salaried,1600000,800000,2400000
34,Post Graduate,Female,Married,Salaried,1600000,0,1600000
34,Graduate,Female,Married,Salaried,2200000,1400000,3600000
36,Graduate,Female,Married,Salaried,2200000,900000,3100000
31,Graduate,Female,Single,Business,2000000,0,2000000
31,Post Graduate,Female,Married,Salaried,1800000,0,1800000
37,Graduate,Female,Married,Business,1700000,0,1700000
37,Post Graduate,Female,Married,Salaried,1900000,1300000,3200000
36,Post Graduate,Female,Married,Salaried,2300000,1300000,3600000
36,Post Graduate,Female,Married,Business,1900000,0,1900000
36,Graduate,Female,Married,Business,1800000,1100000,2900000
34,Graduate,Female,Married,Salaried,2700000,1400000,4100000
34,Post Graduate,Female,Married,Business,1900000,0,1900000
37,Graduate,Female,Married,Salaried,2800000,0,2800000
30,Post Graduate,Female,Single,Business,1400000,0,1400000
30,Post Graduate,Female,Married,Salaried,1300000,800000,2100000
